,Apache Hadoop,Apache Cassandra,Redis,MongoDB,Apache Solr,Apache Spark,Storm,Lucene,Elasticsearch
Монголия,0,0,0,100,0,0,0,0,0
Индия,100,16,16,23,100,59,100,24,59
Республика Корея,64,12,52,21,0,49,0,30,100
Китай,61,7,54,19,0,24,75,100,43
Беларусь,11,0,25,17,0,0,0,0,0
Гонконг,35,13,37,17,0,43,0,28,62
Израиль,20,12,22,16,0,34,0,20,88
Сингапур,38,32,23,15,0,54,0,25,62
Швеция,7,34,10,14,0,13,0,15,45
Шри-Ланка,0,0,0,14,0,0,0,0,0
Украина,6,6,22,13,0,14,0,10,46
Соединенные Штаты,29,33,13,12,33,32,51,15,39
Норвегия,7,21,9,11,0,33,0,21,63
Германия,7,15,8,11,36,13,21,18,34
Тунис,0,0,0,11,0,0,0,0,0
Ирландия,17,16,11,10,0,28,0,15,42
Россия,6,6,18,10,0,10,0,9,34
Тайвань,37,7,16,10,0,25,0,16,33
Бангладеш,0,0,0,10,0,0,0,0,0
Австрия,6,12,7,10,0,0,0,19,31
Швейцария,10,16,10,9,0,17,0,24,46
Филиппины,5,21,8,9,0,18,0,0,0
Финляндия,9,13,10,9,0,0,0,13,27
Чехия,8,12,15,9,0,0,0,18,56
Коста-Рика,0,0,0,9,0,0,0,0,0
ЮАР,8,14,9,8,0,20,0,0,0
Греция,7,9,7,7,0,0,0,0,0
Канада,11,32,9,7,26,21,0,11,25
Болгария,0,7,13,7,0,0,0,0,0
Марокко,0,0,0,7,0,0,0,0,0
Великобритания,10,14,7,7,24,16,33,11,27
Румыния,6,13,100,7,0,27,0,10,28
Словения,0,32,0,7,0,0,0,0,0
Дания,6,14,8,7,0,0,0,15,33
Пакистан,10,5,0,7,0,0,0,0,0
Нидерланды,8,16,9,7,0,13,0,14,45
Новая Зеландия,7,20,10,7,0,100,0,0,0
Франция,6,23,7,6,20,10,0,11,40
Испания,6,10,7,6,0,10,0,10,16
Португалия,5,11,9,6,0,0,0,0,0
Австралия,9,28,8,6,0,18,0,13,25
Сербия,0,8,0,6,0,0,0,0,0
Бельгия,6,20,7,6,0,12,0,15,29
Литва,0,0,0,6,0,48,0,0,0
Вьетнам,4,2,8,6,0,7,0,6,21
Венгрия,5,14,9,5,0,0,0,0,0
Польша,4,9,10,5,0,9,0,8,21
Боливия,0,0,0,5,0,0,0,0,0
Хорватия,0,21,0,5,0,0,0,0,0
Алжир,0,10,0,5,0,0,0,0,0
Словакия,0,0,0,5,0,0,0,23,0
Япония,16,4,11,5,29,10,0,8,22
Аргентина,2,10,4,4,0,0,0,5,13
Колумбия,3,5,3,4,0,12,0,0,0
ОАЭ,10,8,0,4,0,0,0,0,0
Италия,4,24,4,4,0,8,0,9,11
Бразилия,3,9,4,4,0,12,0,5,9
Иран,7,0,23,4,0,0,0,0,0
Перу,0,7,0,4,0,0,0,0,0
Чили,3,10,0,4,0,0,0,0,0
Малайзия,7,15,5,3,0,0,0,0,0
Мексика,2,14,2,3,0,11,0,2,0
Индонезия,3,100,4,3,0,13,0,0,0
Таиланд,3,2,3,3,0,18,0,4,0
Венесуэла,0,5,0,3,0,0,0,0,0
Турция,2,3,3,2,0,4,0,2,7
Египет,4,6,0,2,0,16,0,0,0
